 EQUATION NUMBER
 ---------------------
     node   dof    eqn
    3          6.162E-02  1.256E-02  4.092E-02
 
 STRESS of ELEMENT :   55
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          4.811E-02  6.472E-03  4.986E-02
    2          4.811E-02  6.472E-03  4.986E-02
    3          4.811E-02  6.472E-03  4.986E-02
 
 STRESS of ELEMENT :   56
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          3.394E-02  6.096E-03  5.803E-02
    2          3.394E-02  6.096E-03  5.803E-02
    3          3.394E-02  6.096E-03  5.803E-02
 
 STRESS of ELEMENT :   57
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          2.094E-02  1.011E-02  6.432E-02
    2          2.094E-02  1.011E-02  6.432E-02
    3          2.094E-02  1.011E-02  6.432E-02
 
 STRESS of ELEMENT :   58
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.006E-02  1.658E-02  6.866E-02
    2          1.006E-02  1.658E-02  6.866E-02
    3          1.006E-02  1.658E-02  6.866E-02
 
 STRESS of ELEMENT :   59
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1          1.411E-03  2.375E-02  7.151E-02
    2          1.411E-03  2.375E-02  7.151E-02
    3          1.411E-03  2.375E-02  7.151E-02
 
 STRESS of ELEMENT :   60
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -5.485E-03  3.043E-02  7.345E-02
    2         -5.485E-03  3.043E-02  7.345E-02
    3         -5.485E-03  3.043E-02  7.345E-02
 
 STRESS of ELEMENT :   61
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.133E-02  3.614E-02  7.496E-02
    2         -1.133E-02  3.614E-02  7.496E-02
    3         -1.133E-02  3.614E-02  7.496E-02
 
 STRESS of ELEMENT :   62
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -1.662E-02  4.095E-02  7.643E-02
    2         -1.662E-02  4.095E-02  7.643E-02
    3         -1.662E-02  4.095E-02  7.643E-02
 
 STRESS of ELEMENT :   63
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.134E-02  4.533E-02  7.812E-02
    2         -2.134E-02  4.533E-02  7.812E-02
    3         -2.134E-02  4.533E-02  7.812E-02
 
 STRESS of ELEMENT :   64
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
    1         -2.481E-02  5.013E-02  7.999E-02
    2         -2.481E-02  5.013E-02  7.999E-02
    3         -2.481E-02  5.013E-02  7.999E-02
 
 STRESS of ELEMENT :   65
 ----------------------------------------------
  Position       Sxx        Syy        Sxy     
